id,Type,Title,Country,Data Added,Release Year,Rating,Genre
4593,Movie,Conjuring Spirit,Vietnam,8/28/2018,2014,TV-MA,"Horror Movies, International Movies, Thrillers"
4592,Movie,Furie,Vietnam,9/25/2019,2019,TV-MA,"Action & Adventure, Dramas, International Movies"
4591,Movie,Bitcoin Heist,Vietnam,9/2/2017,2016,TV-14,"Action & Adventure, Comedies, International Movies"
4590,Movie,Jackpot,Vietnam,10/6/2018,2015,TV-14,"Comedies, Dramas, International Movies"
4589,Movie,Pablo Escobar: Angel or Demon?,"Venezuela, Colombia",3/23/2018,2007,NR,"Documentaries, International Movies"
4588,Movie,El Che,Venezuela,10/15/2017,2017,TV-14,"Documentaries, International Movies"
4587,Movie,Belmonte,"Uruguay, Spain, Mexico",6/7/2019,2018,TV-MA,"Dramas, Independent Movies, International Movies"
4586,Movie,A Twelve Year Night,"Uruguay, Argentina, Spain",12/28/2018,2018,TV-MA,"Dramas, International Movies"
4585,Movie,Forever Chape,Uruguay,8/2/2018,2018,TV-14,"Documentaries, International Movies, Sports Movies"
4584,Movie,Perú: Tesoro escondido,Uruguay,11/25/2017,2017,TV-PG,"Documentaries, International Movies"
4583,Movie,Rolling Papers,"United States, Uruguay",9/8/2017,2015,TV-MA,Documentaries
4582,Movie,Secret in Their Eyes,"United States, United Kingdom, Spain, South Korea",4/1/2018,2015,PG-13,"Dramas, Thrillers"
4581,Movie,The Gospel of Luke,"United States, United Kingdom, Morocco",10/19/2018,2015,TV-14,"Dramas, Faith & Spirituality"
4580,Movie,Gosford Park,"United States, United Kingdom, Italy",11/1/2019,2001,R,"Comedies, Dramas, International Movies"
4579,Movie,V for Vendetta,"United States, United Kingdom, Germany",10/1/2018,2005,R,"Action & Adventure, Dramas, Sci-Fi & Fantasy"
4578,Movie,It Takes a Lunatic,"United States, United Kingdom, Germany",10/25/2019,2019,TV-MA,Documentaries
4577,Movie,The Bling Ring,"United States, United Kingdom, France, Germany, Japan",1/18/2020,2013,R,"Dramas, Independent Movies"
4576,Movie,Wild Child,"United States, United Kingdom, France",11/1/2019,2008,PG-13,"Comedies, Romantic Movies"
4575,Movie,Dark Places,"United States, United Kingdom, France",7/26/2018,2015,R,"Dramas, International Movies, Thrillers"
4574,Movie,A Serious Man,"United States, United Kingdom, France",1/16/2018,2009,R,"Comedies, Independent Movies"
4573,Movie,Good People,"United States, United Kingdom, Denmark, Sweden",9/8/2017,2014,R,"Action & Adventure, Thrillers"
4572,Movie,Scott Pilgrim vs. the World,"United States, United Kingdom, Canada, Japan",9/16/2018,2010,PG-13,"Action & Adventure, Comedies, Cult Movies"
4571,TV Show,Green Eggs and Ham,"United States, United Kingdom, Canada",11/8/2019,2019,TV-Y7,"Kids' TV, TV Action & Adventure, TV Comedies"
4570,Movie,Hairspray,"United States, United Kingdom, Canada",1/1/2020,2007,PG,"Children & Family Movies, Comedies, Music & Musicals"
4569,Movie,Clash of the Titans,"United States, United Kingdom, Australia",8/1/2019,2010,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
4568,Movie,Saving Mr. Banks,"United States, United Kingdom, Australia",3/2/2019,2013,PG-13,"Comedies, Dramas"
4567,Movie,Knowing,"United States, United Kingdom, Australia",10/1/2019,2009,PG-13,"Sci-Fi & Fantasy, Thrillers"
4566,TV Show,Our Planet,"United States, United Kingdom",4/5/2019,2019,TV-G,"Docuseries, Science & Nature TV"
4565,TV Show,Sex Education,"United States, United Kingdom",1/11/2019,2019,TV-MA,"British TV Shows, International TV Shows, TV Comedies"
4564,TV Show,Episodes,"United States, United Kingdom",1/6/2018,2017,TV-MA,"Classic & Cult TV, TV Comedies"
4563,TV Show,Gypsy,"United States, United Kingdom",6/30/2017,2017,TV-MA,TV Dramas
4562,Movie,The Taking of Pelham 123,"United States, United Kingdom",9/1/2019,2009,R,Action & Adventure
4561,Movie,How the Beatles Changed the World,"United States, United Kingdom",2/1/2018,2017,TV-PG,"Documentaries, Music & Musicals"
4560,Movie,Sweeney Todd: The Demon Barber of Fleet Street,"United States, United Kingdom",1/1/2020,2007,R,"Dramas, Horror Movies, Music & Musicals"
4559,Movie,Shirkers,"United States, United Kingdom",10/26/2018,2018,TV-14,Documentaries
4558,Movie,Revolutionary Road,"United States, United Kingdom",11/1/2019,2008,R,"Dramas, Romantic Movies"
4557,Movie,Mary Poppins Returns,"United States, United Kingdom",7/9/2019,2018,PG,"Children & Family Movies, Music & Musicals"
4556,Movie,Black Hawk Down,"United States, United Kingdom",1/1/2019,2001,R,"Action & Adventure, Dramas"
4555,Movie,Yes Man,"United States, United Kingdom",1/1/2020,2008,PG-13,"Comedies, Romantic Movies"
4554,Movie,Marriage Story,"United States, United Kingdom",12/6/2019,2019,R,Dramas
4553,Movie,Bill Burr: Paper Tiger,"United States, United Kingdom",9/10/2019,2019,TV-MA,Stand-Up Comedy
4552,Movie,One Day,"United States, United Kingdom",12/16/2018,2011,PG-13,"Dramas, Romantic Movies"
4551,Movie,Big Miracle,"United States, United Kingdom",9/30/2018,2012,PG,"Children & Family Movies, Dramas"
4550,Movie,Across the Universe,"United States, United Kingdom",1/1/2019,2007,PG-13,"Dramas, Music & Musicals, Romantic Movies"
4549,Movie,The Men Who Stare at Goats,"United States, United Kingdom",6/4/2019,2009,R,Comedies
4548,Movie,The Dark Crystal,"United States, United Kingdom",5/1/2019,1982,PG,Children & Family Movies
4547,Movie,Mission Control: The Unsung Heroes of Apollo,"United States, United Kingdom",8/13/2017,2017,TV-14,Documentaries
4546,Movie,Sinister 2,"United States, United Kingdom",10/16/2019,2015,R,Horror Movies
4545,Movie,Inception,"United States, United Kingdom",1/1/2020,2010,PG-13,"Action & Adventure, Sci-Fi & Fantasy, Thrillers"
4544,Movie,THE RUM DIARY,"United States, United Kingdom",12/6/2019,2011,R,"Comedies, Dramas"
4543,Movie,The Prince,"United States, United Kingdom",2/22/2019,2014,R,Action & Adventure
4542,Movie,Candyman,"United States, United Kingdom",10/1/2019,1992,R,"Cult Movies, Horror Movies"
4541,Movie,Goosebumps 2: Haunted Halloween,"United States, United Kingdom",4/25/2019,2018,PG,"Children & Family Movies, Comedies"
4540,Movie,Furthest Witness,"United States, United Kingdom",4/24/2019,2017,TV-MA,"Dramas, Thrillers"
4539,Movie,The Time Machine,"United States, United Arab Emirates",11/23/2019,2002,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
4538,Movie,Shorts,"United States, United Arab Emirates",7/1/2019,2009,PG,"Children & Family Movies, Comedies"
4537,Movie,He Named Me Malala,"United States, United Arab Emirates",6/1/2018,2015,PG-13,Documentaries
4536,Movie,Late Life: The Chien-Ming Wang Story,"United States, Taiwan",3/15/2019,2018,TV-14,"Documentaries, Sports Movies"
4535,TV Show,Minecraft: Story Mode,"United States, Sweden",11/27/2018,2015,TV-Y7-FV,Kids' TV
4534,Movie,Chappaquiddick,"United States, Sweden",10/1/2018,2017,PG-13,Dramas
4533,Movie,Swiss Army Man,"United States, Sweden",1/30/2019,2016,R,"Comedies, Dramas, Independent Movies"
4532,Movie,Mine,"United States, Spain, Italy",2/28/2019,2016,TV-MA,"Dramas, International Movies, Thrillers"
4531,Movie,Hunter's Prayer,"United States, Spain, Germany",10/22/2019,2015,R,"Action & Adventure, Independent Movies"
4530,TV Show,La Reina del Sur,"United States, Spain, Colombia, Mexico",11/29/2019,2019,TV-14,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
4529,Movie,The Green Inferno,"United States, Spain, Chile, Peru",11/16/2019,2013,R,"Horror Movies, Independent Movies"
4528,Movie,Money,"United States, Spain",10/15/2017,2016,R,Thrillers
4527,Movie,War Against Women,"United States, Spain",7/1/2019,2013,TV-14,"Documentaries, International Movies"
4526,Movie,Hey Arnold! The Jungle Movie,"United States, South Korea, Japan",11/2/2019,2017,TV-PG,"Children & Family Movies, Comedies"
4525,TV Show,Super Wings,"United States, South Korea, China",12/1/2017,2017,TV-Y,"Kids' TV, Korean TV Shows"
4524,Movie,Garfield's Fun Fest,"United States, South Korea",1/1/2020,2008,TV-Y7,"Children & Family Movies, Comedies"
4523,Movie,"10,000 B.C.","United States, South Africa",6/1/2019,2008,PG-13,Action & Adventure
4522,Movie,Tremors 6: A Cold Day in Hell,"United States, South Africa",5/1/2018,2018,PG-13,"Action & Adventure, Comedies, Horror Movies"
4521,Movie,Hope: One in a Billion,"United States, South Africa",12/15/2019,2017,TV-14,"Documentaries, International Movies, Sports Movies"
4520,Movie,Incorruptible,"United States, Senegal",9/1/2017,2015,TV-MA,Documentaries
4519,Movie,Freeway: Crack in the System,"United States, Nicaragua",12/15/2017,2015,R,Documentaries
4518,Movie,The Adventures of Tintin,"United States, New Zealand, United Kingdom",11/20/2019,2011,PG,Children & Family Movies
4517,TV Show,The Shannara Chronicles,"United States, New Zealand",1/22/2018,2018,TV-14,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
4516,Movie,Queen of the Desert,"United States, Morocco",4/6/2019,2015,PG-13,Dramas
4515,TV Show,Queen of the South,"United States, Mexico, Spain, Malta",5/7/2019,2018,TV-14,"Crime TV Shows, TV Action & Adventure, TV Dramas"
4514,TV Show,El señor de los Cielos,"United States, Mexico, Colombia",12/23/2018,2018,TV-14,"Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
4513,TV Show,Nailed It! Mexico,"United States, Mexico",2/8/2019,2019,TV-PG,"International TV Shows, Reality TV, Spanish-Language TV Shows"
4512,TV Show,La Doña,"United States, Mexico",11/17/2018,2016,TV-14,"Spanish-Language TV Shows, TV Dramas"
4511,TV Show,Trollhunters,"United States, Mexico",5/25/2018,2018,TV-Y7-FV,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
4510,Movie,Liberated: The New Sexual Revolution,"United States, Mexico",2/1/2018,2017,TV-MA,Documentaries
4509,Movie,After the Raid,"United States, Mexico",12/19/2019,2019,TV-PG,"Documentaries, International Movies"
4508,Movie,Larceny,"United States, Mexico",9/15/2017,2017,TV-14,Action & Adventure
4507,Movie,Birders,"United States, Mexico",9/25/2019,2019,TV-G,"Documentaries, International Movies"
4506,Movie,Nacho Libre,"United States, Mexico",11/1/2019,2006,PG,"Comedies, Sports Movies"
4505,Movie,Troy,"United States, Malta, United Kingdom",10/1/2019,2004,R,"Action & Adventure, Dramas"
4504,TV Show,Kong: King of the Apes,"United States, Japan, Canada",5/4/2018,2018,TV-Y7-FV,Kids' TV
4503,TV Show,Pac-Man and the Ghostly Adventures,"United States, Japan, Canada",6/20/2017,2014,TV-Y7,"Kids' TV, TV Comedies"
4502,TV Show,Dino Girl Gauko,"United States, Japan",11/22/2019,2019,TV-Y7-FV,"Anime Series, Kids' TV"
4501,TV Show,Queer Eye: We're in Japan!,"United States, Japan",11/1/2019,2019,TV-14,"International TV Shows, Reality TV"
4500,TV Show,KENGAN ASHURA,"United States, Japan",10/31/2019,2019,TV-MA,"Anime Series, International TV Shows"
4499,TV Show,Cannon Busters,"United States, Japan",8/15/2019,2019,TV-MA,"Anime Series, International TV Shows"
4498,TV Show,Ultraman,"United States, Japan",4/1/2019,2019,TV-14,"Anime Series, International TV Shows"
4497,TV Show,The Guild,"United States, Japan",3/2/2019,2013,TV-14,TV Comedies
4496,TV Show,Terrace House: Aloha State,"United States, Japan",9/26/2017,2017,TV-14,"International TV Shows, Reality TV"
4495,Movie,Godzilla,"United States, Japan",1/1/2020,1998,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
4494,Movie,Kill Bill: Vol. 1,"United States, Japan",1/1/2020,2003,R,Action & Adventure
4493,Movie,Enter the Anime,"United States, Japan",8/5/2019,2019,TV-MA,"Documentaries, International Movies"
4492,Movie,Doctor Zhivago,"United States, Italy, United Kingdom, Liechtenstein",11/1/2019,1965,PG-13,"Classic Movies, Dramas, Romantic Movies"
4491,TV Show,Huntik: Secrets and Seekers,"United States, Italy",1/1/2018,2011,TV-Y7,Kids' TV
4490,Movie,Gangs of New York,"United States, Italy",8/20/2019,2002,R,Dramas
4489,Movie,Franca: Chaos and Creation,"United States, Italy",10/1/2017,2016,TV-MA,"Documentaries, International Movies"
4488,Movie,The Kindergarten Teacher,"United States, Israel, United Kingdom, Canada",10/12/2018,2018,R,"Dramas, Independent Movies"
4487,TV Show,Brave Miss World,"United States, Israel, Italy, South Africa",2/17/2018,2013,TV-14,"Crime TV Shows, Docuseries"
4486,TV Show,Octonauts,"United States, Ireland, United Kingdom",10/15/2018,2015,TV-Y,"British TV Shows, Kids' TV"
4485,Movie,Leap Year,"United States, Ireland",11/15/2019,2010,PG,"Comedies, Romantic Movies"
4484,Movie,Equals,"United States, Indonesia",10/28/2018,2015,PG-13,"Dramas, Romantic Movies, Sci-Fi & Fantasy"
4483,Movie,The Hundred-Foot Journey,"United States, India, United Arab Emirates",1/31/2019,2014,PG,"Comedies, Dramas"
4482,Movie,Norm of the North: King Sized Adventure,"United States, India, South Korea, China",9/9/2019,2019,TV-PG,"Children & Family Movies, Comedies"
4481,Movie,Hop,"United States, India, Malaysia, Taiwan, Canada, United Kingdom",1/16/2020,2011,PG,"Children & Family Movies, Comedies"
4480,Movie,Chittagong,"United States, India, Bangladesh",1/1/2018,2012,NR,"Dramas, Independent Movies, International Movies"
4479,Movie,War Horse,"United States, India",5/6/2019,2011,PG-13,Dramas
4478,Movie,Lincoln,"United States, India",2/21/2018,2012,PG-13,Dramas
4477,Movie,For Here or to Go?,"United States, India",8/15/2018,2015,TV-MA,"Comedies, Dramas, Independent Movies"
4476,Movie,Alpha and Omega: The Legend of the Saw Tooth Cave,"United States, India",1/1/2020,2014,TV-Y7,Children & Family Movies
4475,Movie,Dagh Ujala,"United States, India",4/1/2018,2015,TV-MA,"Dramas, Independent Movies, International Movies"
4474,Movie,Bokeh,"United States, Iceland",6/22/2017,2017,TV-14,"Dramas, Independent Movies, Sci-Fi & Fantasy"
4473,Movie,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"United States, Hong Kong",1/1/2020,1991,PG,"Children & Family Movies, Comedies"
4472,Movie,The Drowning,"United States, Hong Kong",9/1/2017,2016,TV-MA,Thrillers
4471,Movie,Terminator Salvation,"United States, Germany, United Kingdom, Italy",1/1/2020,2009,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
4470,Movie,Terminator 3: Rise of the Machines,"United States, Germany, United Kingdom",1/1/2020,2003,R,"Action & Adventure, Sci-Fi & Fantasy"
4469,Movie,Sherlock Holmes,"United States, Germany, United Kingdom",4/1/2019,2009,PG-13,"Action & Adventure, Comedies"
4468,Movie,The Mask of Zorro,"United States, Germany, Mexico",1/1/2020,1998,PG-13,"Action & Adventure, Romantic Movies"
4467,Movie,Along Came a Spider,"United States, Germany, Canada",10/1/2019,2001,R,Thrillers
4466,Movie,The In-Laws,"United States, Germany, Canada",7/1/2019,2003,PG-13,"Action & Adventure, Comedies"
4465,Movie,Rumor Has It,"United States, Germany, Australia",8/1/2019,2005,PG-13,"Comedies, Romantic Movies"
4464,Movie,Polar,"United States, Germany",1/25/2019,2019,TV-MA,"Action & Adventure, International Movies"
4463,Movie,Coach Carter,"United States, Germany",1/1/2020,2005,PG-13,"Dramas, Sports Movies"
4462,Movie,Big Fat Liar,"United States, Germany",1/15/2020,2002,PG,"Children & Family Movies, Comedies"
4461,Movie,Monster-in-Law,"United States, Germany",1/1/2020,2005,PG-13,"Comedies, Romantic Movies"
4460,Movie,16 Blocks,"United States, Germany",11/1/2019,2006,PG-13,Action & Adventure
4459,Movie,Crash,"United States, Germany",10/1/2019,2004,R,"Dramas, Independent Movies"
4458,Movie,Take Me Home Tonight,"United States, Germany",5/16/2019,2011,R,"Comedies, Romantic Movies"
4457,Movie,Charlie's Angels,"United States, Germany",10/1/2019,2000,PG-13,"Action & Adventure, Comedies"
4456,Movie,Imagine That,"United States, Germany",12/7/2019,2009,PG,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
4455,Movie,Final Destination 3,"United States, Germany",1/1/2020,2006,R,Horror Movies
4454,Movie,Fracture,"United States, Germany",4/1/2019,2007,R,"Dramas, Thrillers"
4453,Movie,The Rainmaker,"United States, Germany",11/20/2019,1997,PG-13,"Dramas, Thrillers"
4452,Movie,"Good Night, and Good Luck","United States, France, United Kingdom, Japan",6/2/2019,2005,PG,Dramas
4451,TV Show,Zak Storm,"United States, France, South Korea, Indonesia",9/13/2018,2016,TV-Y7-FV,Kids' TV
4450,Movie,Free Willy,"United States, France, Mexico",1/1/2020,1993,PG,"Children & Family Movies, Dramas"
4449,Movie,The Secret Life of Pets 2,"United States, France, Japan",12/27/2019,2019,PG,"Children & Family Movies, Comedies"
4448,Movie,The Tourist,"United States, France, Italy, United Kingdom",1/7/2020,2010,PG-13,"Action & Adventure, Romantic Movies"
4447,Movie,Gothika,"United States, France, Canada, Spain",11/1/2019,2003,R,"Horror Movies, Thrillers"
4446,Movie,Kahlil Gibran's The Prophet,"United States, France, Canada, Lebanon, Qatar",10/1/2017,2014,PG,"Children & Family Movies, Dramas"
4445,TV Show,F is for Family,"United States, France, Canada",11/30/2018,2018,TV-MA,TV Comedies
4444,Movie,Igor,"United States, France",9/1/2019,2008,PG,Children & Family Movies
4443,Movie,Last Night,"United States, France",1/1/2019,2010,R,"Dramas, Independent Movies, Romantic Movies"
4442,Movie,Blue Ruin,"United States, France",2/25/2019,2013,R,"Independent Movies, Thrillers"
4441,Movie,Tyson,"United States, France",3/1/2019,2008,R,"Documentaries, Sports Movies"
4440,Movie,Spring Breakers,"United States, France",7/15/2018,2012,R,"Comedies, Cult Movies, Dramas"
4439,Movie,Skydancers,"United States, France",6/27/2018,2014,TV-G,"Documentaries, Sports Movies"
4438,Movie,Paranormal Investigation,"United States, France",3/1/2019,2018,TV-MA,"Horror Movies, International Movies, Thrillers"
4437,Movie,Willy Wonka & the Chocolate Factory,"United States, East Germany, West Germany",1/1/2020,1971,G,"Children & Family Movies, Classic Movies, Comedies"
4436,Movie,Strong Island,"United States, Denmark",9/15/2017,2017,TV-MA,Documentaries
4435,Movie,The Brothers Grimm,"United States, Czech Republic, United Kingdom",7/1/2019,2005,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
4434,TV Show,Haunted,"United States, Czech Republic",10/11/2019,2019,TV-MA,"Reality TV, TV Horror, TV Thrillers"
4433,TV Show,Terrorism Close Calls,"United States, Czech Republic",10/26/2018,2018,TV-MA,"Crime TV Shows, Docuseries, International TV Shows"
4432,TV Show,Inside the Criminal Mind,"United States, Czech Republic",8/31/2018,2018,TV-MA,"Crime TV Shows, Docuseries, International TV Shows"
4431,Movie,The Pink Panther,"United States, Czech Republic",7/1/2019,2006,PG,"Children & Family Movies, Comedies"
4430,TV Show,Narcos,"United States, Colombia, Mexico",9/1/2017,2017,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas"
4429,TV Show,Sin Senos sí Hay Paraíso,"United States, Colombia",1/11/2019,2018,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
4428,Movie,Man of Tai Chi,"United States, China, Hong Kong",7/26/2018,2013,R,"Action & Adventure, Dramas"
4427,Movie,The Bye Bye Man,"United States, China",4/1/2019,2017,PG-13,"Horror Movies, Thrillers"
4426,Movie,The Forbidden Kingdom,"United States, China",7/1/2019,2008,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
4425,Movie,The Edge of Seventeen,"United States, China",2/1/2019,2016,R,"Comedies, Dramas"
4424,Movie,Hedgehogs,"United States, China",4/1/2019,2016,PG,Children & Family Movies
4423,Movie,The Karate Kid,"United States, China",10/17/2019,2010,PG,"Children & Family Movies, Dramas"
4422,Movie,Aftershock,"United States, Chile",3/7/2018,2012,R,"Action & Adventure, Horror Movies"
4421,Movie,Insidious,"United States, Canada, United Kingdom",5/9/2019,2010,PG-13,"Horror Movies, Thrillers"
4420,Movie,The Real Miyagi,"United States, Canada, Japan, Panama",6/16/2017,2015,TV-PG,"Documentaries, Sports Movies"
4419,Movie,Brain on Fire,"United States, Canada, Ireland",6/22/2018,2016,PG-13,"Dramas, Independent Movies, International Movies"
4418,Movie,Harold & Kumar Go to White Castle,"United States, Canada, Germany",1/1/2020,2004,R,"Comedies, Cult Movies"
4417,Movie,Chloe,"United States, Canada, France",1/1/2020,2009,R,"Independent Movies, Thrillers"
4416,Movie,El último testigo,"United States, Canada, Belgium, United Kingdom",2/4/2018,2012,R,Action & Adventure
4415,TV Show,The Dragon Prince,"United States, Canada",11/22/2019,2019,TV-Y7-FV,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
4414,TV Show,Good Witch,"United States, Canada",7/2/2019,2018,TV-PG,"TV Dramas, TV Sci-Fi & Fantasy"
4413,TV Show,Spy Kids: Mission Critical,"United States, Canada",11/30/2018,2018,TV-Y7-FV,Kids' TV
4412,TV Show,Cloudy with a Chance of Meatballs,"United States, Canada",11/30/2018,2017,TV-Y7,"Kids' TV, TV Comedies"
4411,TV Show,My Little Pony: Friendship Is Magic,"United States, Canada",11/12/2018,2018,TV-Y,Kids' TV
4410,TV Show,Helix,"United States, Canada",11/10/2018,2015,TV-MA,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy"
4409,TV Show,The Adventures of Sonic the Hedgehog,"United States, Canada",4/18/2018,1993,TV-Y,Kids' TV
4408,TV Show,Stoked,"United States, Canada",12/16/2017,2010,TV-PG,Kids' TV
4407,TV Show,Equestria Girls: Tales of Canterlot High,"United States, Canada",10/1/2017,2017,TV-Y,"Kids' TV, TV Comedies"
4406,TV Show,Criminal Minds,"United States, Canada",6/30/2017,2017,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries"
4405,Movie,Left Behind,"United States, Canada",12/26/2018,2014,PG-13,"Action & Adventure, Faith & Spirituality, Sci-Fi & Fantasy"
4404,Movie,Catch Me If You Can,"United States, Canada",1/1/2020,2002,PG-13,Dramas
4403,Movie,Jinxed,"United States, Canada",11/2/2019,2013,TV-G,"Children & Family Movies, Comedies"
4402,Movie,Big Time Movie,"United States, Canada",11/2/2019,2012,TV-PG,"Children & Family Movies, Comedies"
4401,Movie,House of Z,"United States, Canada",1/6/2018,2016,TV-14,Documentaries
4400,Movie,Bad Rap,"United States, Canada",8/21/2017,2016,TV-MA,"Documentaries, Music & Musicals"
4399,Movie,Harriet the Spy: Blog Wars,"United States, Canada",4/15/2018,2010,TV-G,"Children & Family Movies, Comedies"
4398,Movie,War,"United States, Canada",4/1/2019,2007,R,Action & Adventure
4397,Movie,Goon,"United States, Canada",8/15/2017,2011,R,"Comedies, Sports Movies"
4396,Movie,ATM,"United States, Canada",9/5/2018,2012,TV-14,"Comedies, International Movies, Romantic Movies"
275,TV Show,Beast Legends,Canada,2/1/2019,2010,TV-PG,Docuseries